country,Population,rev_id
Palestinian Territory,Population not found,393276188
Czech Republic,Population not found,395521877
Czech Republic,Population not found,395526568
French Guiana,Population not found,546364151
Salvadoran,Population not found,566504165
Rhodesian,Population not found,574571582
"Congo, Dem. Rep. of",Population not found,592289232
Palestinian Territory,Population not found,596181202
Palestinian Territory,Population not found,633612729
East Timorese,Population not found,638566016
Faroese,Population not found,643932216
Faroese,Population not found,643932220
Faroese,Population not found,643932225
Faroese,Population not found,643932226
Faroese,Population not found,643932239
Faroese,Population not found,643932242
Cape Colony,Population not found,647367482
Cape Colony,Population not found,651250302
Cape Colony,Population not found,653467222
"Congo, Dem. Rep. of",Population not found,663088604
South Korean,Population not found,663348266
Cape Colony,Population not found,666596918
Rhodesian,Population not found,669387487
Cape Colony,Population not found,670210734
Samoan,Population not found,671515606
Czech Republic,Population not found,672862914
Czech Republic,Population not found,673008587
Montserratian,Population not found,674919905
Cape Colony,Population not found,676828191
Salvadoran,Population not found,679294949
Cape Colony,Population not found,680205631
Pitcairn Islands,Population not found,680532939
Palestinian Territory,Population not found,680933208
Rhodesian,Population not found,682576258
Saint Kitts and Nevis,Population not found,687127320
Cape Colony,Population not found,693624260
Abkhazia,Population not found,694519009
Faroese,Population not found,698865505
East Timorese,Population not found,699698855
Faroese,Population not found,700400143
Palestinian Territory,Population not found,701106976
Faroese,Population not found,701771698
Niuean,Population not found,703037968
Ivorian,Population not found,703133769
Martinique,Population not found,703216645
Carniolan,Population not found,703436823
South Korean,Population not found,703478926
Saint Kitts and Nevis,Population not found,703666654
Saint Lucian,Population not found,703819839
Czech Republic,Population not found,704424304
South African Republic,Population not found,704636517
Hondura,Population not found,704789339
Samoan,Population not found,704919844
Abkhazia,Population not found,704938340
Czech Republic,Population not found,705080136
Samoan,Population not found,705218371
Hondura,Population not found,705346284
Hondura,Population not found,705346304
Hondura,Population not found,705346378
Hondura,Population not found,705346396
Hondura,Population not found,705346462
Hondura,Population not found,705346724
Hondura,Population not found,705346741
Salvadoran,Population not found,705353491
Salvadoran,Population not found,705353565
Salvadoran,Population not found,705353584
Salvadoran,Population not found,705353647
Salvadoran,Population not found,705353678
Salvadoran,Population not found,705353843
Salvadoran,Population not found,705353896
Salvadoran,Population not found,705353975
Salvadoran,Population not found,705354095
Salvadoran,Population not found,705354112
Salvadoran,Population not found,705354212
Salvadoran,Population not found,705385310
"Congo, Dem. Rep. of",Population not found,705390654
Martinique,Population not found,705428274
"Congo, Dem. Rep. of",Population not found,705707214
"Congo, Dem. Rep. of",Population not found,705723187
"Congo, Dem. Rep. of",Population not found,705723441
Samoan,Population not found,706207837
Palestinian Territory,Population not found,706650943
Salvadoran,Population not found,706769596
Incan,Population not found,706771757
Samoan,Population not found,706804758
Samoan,Population not found,706837234
Chechen,Population not found,707217873
Salvadoran,Population not found,707399758
Salvadoran,Population not found,707400213
Salvadoran,Population not found,707403482
Salvadoran,Population not found,707404888
Salvadoran,Population not found,707519272
Samoan,Population not found,707525246
Samoan,Population not found,707525315
Czech Republic,Population not found,707597623
Palestinian Territory,Population not found,707669406
Samoan,Population not found,707750982
Hondura,Population not found,707824636
"Congo, Dem. Rep. of",Population not found,708009445
Salvadoran,Population not found,708089470
Palestinian Territory,Population not found,708269321
"Congo, Dem. Rep. of",Population not found,708358969
"Congo, Dem. Rep. of",Population not found,708359204
